Brand,Laptop_Name,Price,MarketPrice,Discount,Link,ImageLink
Viper,Viper Expeder X 15.6 inches Core i7 (16BG RAM - 512GB SSD),"Rs. 255,000",,,https://priceoye.pk/laptops/viper/viper-expeder-x-15-6-inches-core-i7-6bg-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 3520 15.6 inches Core i5 (8GB RAM - 256GB SSD),"Rs. 135,900",,,https://priceoye.pk/laptops/dell/dell-latitude-3520-15-6-inches-core-i5-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5402 14 Inches Core i7 (8GB RAM - 512GB SSD),"Rs. 176,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5402-14-inches-core-i7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5410 14 Inches 11Gen Core i5 11300H (8GB RAM - 512GB SSD),"Rs. 162,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11gen-core-i5-11300h-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 3520 15.6 Inches Core i7 1165G7 (8GRAM - 512GB SSD),"Rs. 195,500",,,https://priceoye.pk/laptops/dell/dell-latitude-3520-15-6-inches-core-i7-1165g7-8gram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP ChromeBook x360 14 Inches Intel Pentium Celeron (8GB RAM - 64GB HDD),"Rs. 54,500",,,https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-intel-pentium-celeron-8gb-ram-64gb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Chrome Book x360 14 Inches Core i5 (8GB RAM - 64GB HDD),"Rs. 67,000",,,https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-core-i5-8gb-ram-64gb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP EF2127WM 15.6 Inches Core i7 AMD Ryzen 5 (8GB - 256GB SSD),"Rs. 110,000",,,https://priceoye.pk/laptops/hp/hp-ef2127wm-15-6-inches-core-i7-amd-ryzen-5-8gb-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP DQ2055WM 14 Inches Core i3 (4GB RAM - 256GB SSD),"Rs. 87,000",,,https://priceoye.pk/laptops/hp/hp-dq2055wm-14-inches-core-i3-4gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo IdeaPad L3 15.6 Inches Core i5 (04GB RAM - 01TB HDD),"Rs. 105,999",,,https://priceoye.pk/laptops/lenovo/lenovo-ideapad-l3-15-6-inches-core-i5-04gb-ram-01tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
