Brand,Watch_Name,Price,MarketPrice,Discount,Link,ImageLink
HW8,HW8 Ultra Bluetooth Calling Watch,"Rs. 5,999","
                Rs. 8,000            ","
                (25% OFF)            ",https://priceoye.pk/smart-watches/assorted/hw-8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Z59,Z59 Ultra Smart Watch Series 8,"Rs. 4,799","
                Rs. 5,499            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/assorted/z59-ultra-smart-watch-series-8,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Epic Bluetooth Calling Smart Watch,"Rs. 6,599","
                Rs. 6,849            ","
                (4% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-epic-bluetooth-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
S8,S8 Pro Max Smart Watch,"Rs. 3,299","
                Rs. 4,699            ","
                (30% OFF)            ",https://priceoye.pk/smart-watches/assorted/s8-pro-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro Watch Lite2,"Rs. 12,799","
                Rs. 14,999            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-watch-lite2,https://static.priceoye.pk/images/product-placeholder.jpg
DT8,DT8 Ultra Max Smart Watch,"Rs. 6,499","
                Rs. 7,999            ","
                (19% OFF)            ",https://priceoye.pk/smart-watches/assorted/dt8-ultra-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Samsung,Samsung Galaxy Watch 4 Classic Bluetooth 46mm (R890),"Rs. 49,999","
                Rs. 54,999            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-4-classic-bluetooth-46mm-r890,https://static.priceoye.pk/images/product-placeholder.jpg
Letscom,Letscom Smart Watch (ID206),"Rs. 5,699","
                Rs. 7,500            ","
                (24% OFF)            ",https://priceoye.pk/smart-watches/letscom/letscom-smart-watch-id206,https://static.priceoye.pk/images/product-placeholder.jpg
Haylou,Haylou GS Smart Watch,"Rs. 6,999","
                Rs. 7,000            ","
                (0% OFF)            ",https://priceoye.pk/smart-watches/haylou/haylou-gs-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro Watch C2,"Rs. 7,799","
                Rs. 8,499            ","
                (8% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-watch-c2,https://static.priceoye.pk/images/product-placeholder.jpg
Huawei,Huawei Watch GT 3 Pro,"Rs. 76,499","
                Rs. 84,999            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/huawei/huawei-watch-gt-3-pro,https://static.priceoye.pk/images/product-placeholder.jpg
